cluster_model,cluster_rules,match_score,concordance
56,56,7,True
22,22,7,True
1,1,0,True
12,12,7,True
12,12,7,True
56,56,7,True
22,22,7,True
94,94,7,True
56,56,7,True
1,1,7,True
22,22,7,True
1,1,7,True
1,1,7,True
56,56,0,True
1,1,7,True
12,12,7,True
22,22,7,True
23,23,7,True
17,17,7,True
94,94,7,True
94,94,7,True
23,23,0,True
17,17,7,True
22,22,7,True
1,1,7,True
12,12,7,True
17,17,7,True
17,17,0,True
23,23,0,True
94,94,7,True
12,12,7,True
22,22,7,True
12,12,7,True
12,12,7,True
1,1,7,True
12,12,7,True
56,56,7,True
12,12,7,True
94,94,7,True
22,22,7,True
1,1,7,True
56,56,7,True
17,17,0,True
56,56,7,True
17,17,0,True
23,23,7,True
1,1,7,True
22,22,7,True
94,94,7,True
22,22,0,True
56,56,0,True
12,12,7,True
1,1,7,True
12,12,7,True
17,17,0,True
94,94,7,True
22,22,7,True
56,56,0,True
12,12,7,True
17,17,0,True
94,94,7,True
1,1,7,True
22,22,7,True
1,1,7,True
12,12,7,True
56,56,7,True
1,1,7,True
22,22,7,True
23,23,7,True
1,1,7,True
56,56,7,True
1,1,7,True
12,12,7,True
1,1,0,True
22,22,7,True
1,1,7,True
56,56,7,True
1,1,7,True
22,22,7,True
12,12,7,True
56,56,7,True
1,1,7,True
1,1,7,True
12,12,7,True
56,56,7,True
12,12,7,True
12,12,7,True
33,33,7,True
22,22,7,True
1,1,7,True
22,22,7,True
56,56,7,True
17,17,7,True
1,1,0,True
17,17,0,True
12,12,0,True
12,12,7,True
56,56,7,True
12,12,7,True
22,22,7,True
94,94,0,True
17,17,0,True
17,17,0,True
17,17,0,True
12,12,7,True
56,56,0,True
1,1,0,True
17,17,0,True
17,17,7,True
12,12,7,True
1,1,7,True
1,1,7,True
56,56,0,True
1,1,7,True
12,12,7,True
12,12,7,True
12,12,7,True
56,56,7,True
22,22,7,True
1,1,7,True
12,12,7,True
1,1,7,True
12,12,7,True
22,22,0,True
56,56,0,True
1,1,7,True
12,12,7,True
22,22,7,True
12,12,7,True
1,1,7,True
56,56,7,True
12,12,7,True
22,22,7,True
1,1,7,True
94,94,7,True
22,22,0,True
56,56,7,True
22,22,7,True
1,1,7,True
94,94,7,True
56,56,0,True
22,22,0,True
94,94,7,True
94,94,7,True
94,94,7,True
17,17,7,True
94,94,7,True
1,1,7,True
12,12,7,True
56,56,0,True
1,1,7,True
22,22,7,True
22,22,7,True
56,56,7,True
56,56,7,True
22,22,7,True
1,1,7,True
12,12,7,True
1,1,7,True
22,22,7,True
12,12,7,True
56,56,7,True
1,1,7,True
12,12,7,True
17,17,0,True
1,1,7,True
1,1,7,True
94,94,0,True
94,94,0,True
17,17,7,True
23,23,0,True
17,17,7,True
94,94,7,True
1,1,0,True
56,56,0,True
1,1,0,True
22,22,7,True
12,12,7,True
22,22,7,True
94,94,7,True
56,56,7,True
12,12,7,True
12,12,7,True
22,22,7,True
1,1,7,True
56,56,7,True
1,1,7,True
94,94,7,True
56,56,7,True
56,56,7,True
17,17,7,True
22,22,7,True
56,56,7,True
12,12,7,True
56,56,0,True
12,12,7,True
1,1,7,True
22,22,7,True
17,17,7,True
22,22,7,True
1,1,7,True
17,17,7,True
33,33,7,True
17,17,7,True
12,12,7,True
1,1,0,True
12,12,7,True
56,56,7,True
12,12,7,True
22,22,7,True
56,56,7,True
12,12,7,True
1,1,7,True
12,12,7,True
17,17,0,True
1,1,7,True
17,17,7,True
94,94,0,True
22,22,7,True
1,1,7,True
94,94,7,True
94,94,7,True
17,17,7,True
56,56,7,True
1,1,7,True
1,1,7,True
1,1,7,True
56,56,7,True
1,1,7,True
1,1,7,True
12,12,0,True
1,1,0,True
12,12,0,True
23,23,7,True
12,12,7,True
1,1,7,True
12,12,7,True
12,12,7,True
17,17,7,True
94,94,7,True
56,56,7,True
17,17,7,True
17,17,7,True
23,23,7,True
1,1,0,True
56,56,7,True
22,22,7,True
12,12,7,True
56,56,7,True
22,22,7,True
94,94,7,True
17,17,7,True
23,23,7,True
94,94,7,True
17,17,7,True
94,94,7,True
1,1,7,True
12,12,7,True
22,22,0,True
56,56,7,True
1,1,7,True
56,56,0,True
22,22,7,True
12,12,7,True
1,1,7,True
22,22,0,True
56,56,0,True
1,1,0,True
12,12,7,True
94,94,0,True
12,12,7,True
12,12,7,True
22,22,7,True
12,12,7,True
56,56,7,True
12,12,7,True
1,1,7,True
12,12,0,True
56,56,0,True
12,12,0,True
22,22,0,True
1,1,7,True
12,12,7,True
22,22,7,True
12,12,7,True
56,56,7,True
1,1,7,True
1,1,7,True
1,1,7,True
1,1,7,True
56,56,7,True
22,22,7,True
1,1,0,True
12,12,7,True
1,1,7,True
56,56,7,True
1,1,7,True
12,12,7,True
22,22,7,True
12,12,7,True
12,12,7,True
22,22,0,True
56,56,0,True
1,1,7,True
1,1,7,True
12,12,7,True
1,1,7,True
22,22,0,True
94,94,7,True
1,1,7,True
56,56,7,True
22,22,7,True
1,1,7,True
94,94,7,True
94,94,7,True
22,22,7,True
34,34,0,True
12,12,7,True
12,12,7,True
34,34,0,True
91,91,0,True
22,22,7,True
12,12,7,True
1,1,7,True
94,94,7,True
94,94,7,True
94,94,7,True
94,94,0,True
94,94,7,True
94,94,0,True
17,17,7,True
94,94,0,True
17,17,7,True
1,1,7,True
56,56,0,True
22,22,0,True
56,56,0,True
1,1,7,True
1,1,7,True
12,12,7,True
22,22,7,True
56,56,7,True
12,12,7,True
56,56,7,True
22,22,7,True
1,1,7,True
12,12,7,True
94,94,0,True
94,94,7,True
17,17,7,True
94,94,7,True
56,56,7,True
22,22,7,True
1,1,7,True
17,17,7,True
94,94,7,True
22,22,0,True
17,17,7,True
94,94,7,True
56,56,7,True
17,17,7,True
22,22,7,True
1,1,7,True
56,56,7,True
94,94,7,True
22,22,7,True
17,17,7,True
12,12,7,True
22,22,7,True
17,17,7,True
12,12,7,True
12,12,7,True
12,12,7,True
12,12,7,True
94,94,7,True
12,12,7,True
1,1,7,True
94,94,7,True
1,1,7,True
94,94,7,True
17,17,0,True
12,12,7,True
94,94,7,True
94,94,7,True
94,94,7,True
22,22,7,True
56,56,7,True
94,94,7,True
17,17,7,True
12,12,7,True
22,22,0,True
12,12,7,True
56,56,0,True
94,94,7,True
22,22,7,True
56,56,7,True
94,94,7,True
12,12,7,True
12,12,7,True
1,1,7,True
22,22,7,True
94,94,7,True
56,56,7,True
12,12,7,True
1,1,7,True
94,94,7,True
1,1,7,True
17,17,7,True
94,94,7,True
22,22,7,True
56,56,7,True
12,12,7,True
1,1,7,True
12,12,7,True
17,17,0,True
12,12,7,True
12,12,7,True
23,23,7,True
17,17,7,True
1,1,7,True
1,1,7,True
22,22,7,True
94,94,7,True
56,56,7,True
1,1,7,True
12,12,7,True
12,12,7,True
94,94,7,True
12,12,7,True
56,56,7,True
1,1,7,True
22,22,7,True
94,94,7,True
1,1,7,True
23,23,7,True
22,22,0,True
94,94,0,True
22,22,0,True
1,1,0,True
17,17,0,True
94,94,7,True
12,12,7,True
94,94,7,True
22,22,7,True
12,12,7,True
17,17,7,True
94,94,7,True
23,23,7,True
17,17,0,True
17,17,7,True
12,12,7,True
12,12,7,True
17,17,7,True
12,12,7,True
12,12,7,True
1,1,0,True
17,17,7,True
1,1,7,True
23,23,0,True
12,12,7,True
56,56,0,True
17,17,0,True
12,12,7,True
94,94,7,True
17,17,7,True
12,12,7,True
22,22,7,True
22,22,7,True
56,56,7,True
94,94,0,True
22,22,7,True
22,22,7,True
17,17,7,True
12,12,7,True
12,12,7,True
17,17,7,True
12,12,7,True
12,12,7,True
12,12,7,True
94,94,7,True
1,1,7,True
12,12,7,True
56,56,7,True
22,22,7,True
56,56,7,True
12,12,7,True
12,12,0,True
1,1,7,True
1,1,7,True
23,23,7,True
12,12,7,True
56,56,0,True
17,17,7,True
1,1,7,True
94,94,0,True
17,17,7,True
22,22,7,True
94,94,7,True
17,17,7,True
12,12,0,True
94,94,0,True
1,1,7,True
22,22,7,True
56,56,7,True
12,12,7,True
12,12,7,True
1,1,0,True
23,23,7,True
17,17,7,True
94,94,7,True
17,17,7,True
17,17,7,True
12,12,7,True
22,22,7,True
1,1,7,True
17,17,7,True
12,12,0,True
22,22,0,True
94,94,7,True
1,1,7,True
94,94,0,True
22,22,7,True
56,56,7,True
94,94,7,True
1,1,7,True
12,12,7,True
94,94,0,True
17,17,0,True
94,94,7,True
17,17,7,True
22,22,7,True
94,94,7,True
12,12,7,True
22,22,7,True
56,56,7,True
12,12,7,True
94,94,7,True
94,94,7,True
94,94,7,True
1,1,7,True
94,94,7,True
12,12,7,True
56,56,7,True
22,22,7,True
1,1,7,True
1,1,7,True
1,1,7,True
22,22,0,True
94,94,7,True
1,1,7,True
12,12,7,True
12,12,7,True
12,12,7,True
56,56,0,True
12,12,7,True
22,22,7,True
56,56,7,True
1,1,7,True
1,1,7,True
22,22,7,True
12,12,7,True
56,56,0,True
12,12,7,True
1,1,7,True
12,12,7,True
56,56,0,True
1,1,7,True
1,1,7,True
22,22,7,True
12,12,7,True
12,12,7,True
22,22,0,True
22,22,7,True
1,1,7,True
94,94,7,True
94,94,7,True
94,94,7,True
94,94,7,True
56,56,7,True
1,1,7,True
22,22,7,True
1,1,7,True
56,56,7,True
56,56,7,True
12,12,7,True
1,1,7,True
22,22,7,True
56,56,7,True
12,12,7,True
12,12,7,True
22,22,7,True
12,12,7,True
1,1,7,True
17,17,7,True
1,1,7,True
17,17,7,True
17,17,7,True
12,12,7,True
56,56,7,True
22,22,7,True
12,12,7,True
1,1,7,True
1,1,7,True
12,12,7,True
1,1,7,True
56,56,7,True
22,22,7,True
12,12,0,True
56,56,0,True
22,22,7,True
17,17,7,True
22,22,7,True
56,56,0,True
12,12,7,True
12,12,7,True
22,22,7,True
94,94,7,True
22,22,7,True
56,56,7,True
56,56,0,True
22,22,7,True
1,1,7,True
56,56,7,True
22,22,0,True
94,94,7,True
94,94,7,True
1,1,7,True
1,1,7,True
17,17,7,True
56,56,7,True
22,22,7,True
23,23,7,True
94,94,0,True
94,94,7,True
1,1,7,True
22,22,0,True
12,12,7,True
56,56,7,True
12,12,7,True
22,22,0,True
1,1,7,True
56,56,0,True
12,12,7,True
56,56,7,True
1,1,0,True
22,22,7,True
1,1,7,True
17,17,0,True
1,1,7,True
22,22,7,True
12,12,7,True
1,1,7,True
56,56,0,True
22,22,7,True
56,56,7,True
12,12,7,True
12,12,7,True
1,1,7,True
56,56,7,True
12,12,7,True
94,94,7,True
22,22,7,True
12,12,7,True
12,12,7,True
17,17,7,True
23,23,7,True
17,17,7,True
12,12,7,True
1,1,7,True
22,22,7,True
94,94,7,True
12,12,7,True
12,12,7,True
23,23,7,True
22,22,0,True
17,17,7,True
33,33,7,True
1,1,0,True
56,56,7,True
1,1,7,True
94,94,7,True
22,22,7,True
94,94,7,True
12,12,7,True
17,17,7,True
17,17,7,True
17,17,7,True
1,1,7,True
56,56,7,True
22,22,7,True
22,22,7,True
1,1,7,True
12,12,7,True
56,56,7,True
1,1,7,True
1,1,7,True
56,56,7,True
12,12,7,True
1,1,7,True
22,22,7,True
12,12,7,True
94,94,7,True
94,94,7,True
12,12,7,True
1,1,7,True
1,1,7,True
56,56,0,True
12,12,0,True
12,12,0,True
1,1,7,True
22,22,0,True
1,1,7,True
56,56,7,True
1,1,7,True
22,22,7,True
1,1,7,True
1,1,0,True
23,23,0,True
17,17,7,True
17,17,7,True
94,94,7,True
12,12,7,True
56,56,0,True
22,22,7,True
17,17,7,True
12,12,7,True
22,22,7,True
17,17,7,True
56,56,7,True
1,1,7,True
12,12,7,True
1,1,7,True
22,22,7,True
56,56,7,True
1,1,7,True
1,1,7,True
22,22,7,True
17,17,7,True
56,56,7,True
1,1,7,True
1,1,7,True
12,12,7,True
22,22,7,True
94,94,7,True
94,94,7,True
22,22,7,True
1,1,7,True
56,56,7,True
17,17,7,True
17,17,7,True
12,12,0,True
94,94,7,True
1,1,7,True
22,22,7,True
12,12,7,True
56,56,7,True
56,56,0,True
22,22,0,True
12,12,0,True
94,94,7,True
22,22,7,True
94,94,7,True
94,94,0,True
94,94,7,True
17,17,7,True
17,17,0,True
56,56,7,True
94,94,7,True
56,56,7,True
12,12,7,True
17,17,7,True
22,22,7,True
12,12,7,True
12,12,7,True
94,94,7,True
22,22,0,True
17,17,7,True
17,17,7,True
56,56,0,True
17,17,0,True
56,56,7,True
1,1,7,True
22,22,7,True
12,12,7,True
56,56,0,True
22,22,0,True
12,12,7,True
56,56,0,True
22,22,0,True
12,12,7,True
12,12,7,True
94,94,7,True
56,56,7,True
17,17,7,True
22,22,7,True
94,94,7,True
17,17,7,True
17,17,0,True
23,23,0,True
17,17,0,True
17,17,0,True
1,1,7,True
56,56,7,True
12,12,7,True
12,12,7,True
17,17,7,True
22,22,7,True
17,17,7,True
17,17,7,True
33,33,7,True
22,22,7,True
56,56,0,True
1,1,7,True
12,12,7,True
12,12,7,True
1,1,7,True
1,1,7,True
94,94,7,True
1,1,7,True
22,22,7,True
12,12,7,True
56,56,7,True
94,94,7,True
12,12,7,True
17,17,7,True
94,94,7,True
22,22,0,True
33,33,7,True
56,56,0,True
12,12,7,True
1,1,7,True
22,22,7,True
56,56,7,True
1,1,7,True
94,94,7,True
12,12,7,True
1,1,0,True
56,56,7,True
12,12,7,True
22,22,7,True
12,12,7,True
1,1,7,True
12,12,7,True
12,12,7,True
56,56,7,True
94,94,7,True
56,56,7,True
17,17,7,True
22,22,7,True
17,17,7,True
1,1,7,True
12,12,7,True
12,12,7,True
12,12,7,True
12,12,7,True
56,56,7,True
22,22,7,True
94,94,0,True
12,12,0,True
12,12,7,True
1,1,7,True
17,17,7,True
1,1,7,True
22,22,7,True
1,1,7,True
56,56,7,True
1,1,0,True
1,1,7,True
56,56,7,True
22,22,7,True
1,1,7,True
12,12,0,True
1,1,0,True
22,22,7,True
1,1,7,True
1,1,7,True
1,1,7,True
22,22,7,True
12,12,7,True
23,23,7,True
94,94,7,True
1,1,7,True
1,1,7,True
12,12,7,True
22,22,7,True
1,1,7,True
12,12,7,True
1,1,0,True
56,56,0,True
17,17,7,True
17,17,7,True
22,22,7,True
56,56,7,True
94,94,0,True
12,12,7,True
1,1,7,True
17,17,0,True
1,1,7,True
22,22,7,True
56,56,7,True
1,1,7,True
1,1,7,True
1,1,7,True
94,94,7,True
12,12,7,True
94,94,7,True
94,94,7,True
94,94,7,True
1,1,7,True
12,12,7,True
22,22,7,True
56,56,7,True
12,12,7,True
12,12,7,True
1,1,7,True
12,12,7,True
56,56,7,True
22,22,7,True
12,12,7,True
22,22,0,True
56,56,7,True
17,17,7,True
12,12,7,True
12,12,7,True
1,1,7,True
1,1,7,True
1,1,0,True
56,56,0,True
33,33,0,True
1,1,7,True
1,1,7,True
91,91,0,True
1,1,7,True
56,56,0,True
12,12,7,True
12,12,0,True
56,56,7,True
22,22,7,True
17,17,7,True
12,12,7,True
12,12,7,True
12,12,7,True
1,1,7,True
12,12,7,True
94,94,7,True
94,94,0,True
22,22,7,True
56,56,0,True
17,17,0,True
12,12,7,True
17,17,0,True
12,12,7,True
12,12,7,True
22,22,0,True
1,1,7,True
1,1,7,True
56,56,7,True
1,1,7,True
1,1,0,True
22,22,0,True
94,94,7,True
17,17,0,True
17,17,7,True
12,12,7,True
94,94,7,True
17,17,7,True
17,17,7,True
12,12,7,True
17,17,7,True
17,17,7,True
22,22,7,True
12,12,7,True
22,22,7,True
56,56,0,True
12,12,7,True
12,12,7,True
22,22,0,True
1,1,7,True
1,1,7,True
12,12,7,True
12,12,7,True
12,12,0,True
12,12,7,True
22,22,0,True
12,12,0,True
1,1,7,True
12,12,7,True
22,22,7,True
12,12,7,True
12,12,7,True
12,12,7,True
56,56,0,True
56,56,7,True
22,22,7,True
1,1,7,True
1,1,7,True
17,17,7,True
1,1,7,True
12,12,7,True
12,12,0,True
1,1,7,True
12,12,7,True
22,22,7,True
23,23,7,True
94,94,7,True
17,17,7,True
12,12,7,True
1,1,7,True
56,56,7,True
22,22,7,True
94,94,7,True
22,22,7,True
12,12,7,True
56,56,7,True
1,1,7,True
12,12,7,True
1,1,7,True
17,17,7,True
56,56,7,True
12,12,7,True
12,12,7,True
22,22,7,True
12,12,7,True
94,94,7,True
94,94,0,True
12,12,7,True
94,94,0,True
1,1,7,True
17,17,7,True
94,94,7,True
94,94,7,True
94,94,7,True
23,23,7,True
12,12,7,True
12,12,7,True
56,56,7,True
1,1,7,True
12,12,7,True
12,12,7,True
94,94,7,True
22,22,7,True
94,94,7,True
94,94,0,True
94,94,0,True
56,56,0,True
1,1,7,True
22,22,0,True
22,22,7,True
56,56,7,True
94,94,7,True
33,33,7,True
17,17,7,True
12,12,7,True
94,94,0,True
94,94,0,True
94,94,7,True
17,17,7,True
94,94,7,True
17,17,7,True
56,56,0,True
17,17,7,True
12,12,0,True
12,12,7,True
56,56,0,True
22,22,7,True
12,12,7,True
22,22,7,True
1,1,7,True
56,56,7,True
12,12,7,True
1,1,7,True
23,23,7,True
12,12,7,True
17,17,7,True
17,17,0,True
1,1,7,True
12,12,7,True
12,12,7,True
56,56,7,True
1,1,7,True
12,12,7,True
22,22,7,True
56,56,7,True
22,22,7,True
1,1,7,True
17,17,0,True
94,94,0,True
94,94,7,True
94,94,0,True
17,17,7,True
1,1,7,True
17,17,7,True
94,94,7,True
56,56,0,True
1,1,7,True
22,22,7,True
1,1,7,True
1,1,7,True
22,22,7,True
12,12,7,True
1,1,0,True
12,12,7,True
94,94,7,True
94,94,7,True
94,94,7,True
56,56,7,True
94,94,7,True
1,1,7,True
12,12,7,True
17,17,7,True
22,22,0,True
56,56,7,True
22,22,0,True
12,12,0,True
12,12,7,True
94,94,0,True
22,22,7,True
12,12,7,True
1,1,7,True
12,12,7,True
56,56,7,True
1,1,7,True
12,12,7,True
1,1,7,True
22,22,7,True
1,1,7,True
1,1,7,True
56,56,7,True
1,1,7,True
56,56,7,True
22,22,7,True
17,17,7,True
1,1,7,True
12,12,7,True
1,1,7,True
56,56,7,True
1,1,7,True
94,94,0,True
17,17,7,True
12,12,0,True
22,22,7,True
22,22,0,True
1,1,7,True
1,1,7,True
56,56,0,True
1,1,7,True
1,1,7,True
12,12,7,True
56,56,7,True
22,22,7,True
12,12,7,True
56,56,7,True
1,1,7,True
1,1,7,True
12,12,7,True
12,12,7,True
1,1,7,True
56,56,7,True
12,12,7,True
22,22,7,True
1,1,7,True
12,12,7,True
12,12,7,True
1,1,7,True
22,22,7,True
56,56,7,True
1,1,7,True
12,12,7,True
12,12,7,True
12,12,7,True
1,1,7,True
17,17,0,True
1,1,7,True
12,12,7,True
17,17,7,True
17,17,7,True
94,94,7,True
1,1,7,True
1,1,7,True
12,12,7,True
22,22,0,True
56,56,0,True
94,94,0,True
94,94,7,True
56,56,7,True
94,94,7,True
94,94,7,True
22,22,7,True
94,94,7,True
94,94,7,True
17,17,7,True
1,1,7,True
12,12,7,True
23,23,7,True
94,94,7,True
56,56,7,True
22,22,7,True
12,12,7,True
12,12,7,True
1,1,0,True
1,1,7,True
22,22,7,True
56,56,7,True
1,1,7,True
12,12,7,True
17,17,7,True
12,12,7,True
22,22,7,True
12,12,7,True
56,56,7,True
12,12,7,True
12,12,7,True
12,12,7,True
1,1,7,True
56,56,7,True
22,22,7,True
17,17,7,True
1,1,7,True
56,56,7,True
94,94,7,True
94,94,7,True
22,22,7,True
1,1,7,True
23,23,7,True
17,17,7,True
17,17,7,True
23,23,7,True
12,12,0,True
12,12,7,True
22,22,7,True
56,56,7,True
12,12,7,True
1,1,7,True
12,12,7,True
1,1,7,True
22,22,7,True
12,12,7,True
91,91,0,True
22,22,7,True
12,12,7,True
56,56,7,True
1,1,7,True
12,12,7,True
1,1,7,True
23,23,0,True
12,12,7,True
17,17,0,True
1,1,7,True
1,1,7,True
17,17,7,True
17,17,7,True
12,12,7,True
12,12,7,True
22,22,7,True
94,94,7,True
1,1,7,True
12,12,7,True
56,56,7,True
12,12,7,True
1,1,7,True
56,56,7,True
1,1,7,True
22,22,7,True
12,12,7,True
12,12,7,True
12,12,7,True
12,12,7,True
33,33,7,True
12,12,7,True
12,12,0,True
12,12,7,True
94,94,0,True
56,56,7,True
94,94,7,True
17,17,0,True
12,12,7,True
56,56,7,True
1,1,7,True
1,1,7,True
22,22,7,True
1,1,7,True
33,33,7,True
1,1,7,True
22,22,0,True
1,1,7,True
17,17,7,True
17,17,7,True
12,12,7,True
94,94,7,True
94,94,7,True
22,22,0,True
22,22,7,True
12,12,7,True
56,56,0,True
1,1,7,True
12,12,7,True
56,56,0,True
12,12,7,True
1,1,7,True
22,22,7,True
22,22,7,True
1,1,7,True
12,12,7,True
94,94,7,True
94,94,7,True
1,1,7,True
17,17,7,True
17,17,7,True
56,56,7,True
17,17,0,True
12,12,7,True
12,12,7,True
1,1,7,True
12,12,7,True
56,56,0,True
12,12,7,True
22,22,7,True
1,1,7,True
1,1,7,True
56,56,7,True
22,22,7,True
17,17,7,True
12,12,7,True
1,1,7,True
22,22,7,True
12,12,7,True
56,56,0,True
1,1,7,True
1,1,7,True
1,1,7,True
94,94,0,True
94,94,7,True
94,94,7,True
94,94,7,True
1,1,7,True
33,33,7,True
1,1,7,True
1,1,7,True
22,22,0,True
12,12,7,True
17,17,7,True
56,56,0,True
1,1,7,True
22,22,7,True
1,1,7,True
56,56,7,True
17,17,0,True
